"Numero","Ano","Modalidade","Objeto","Data de Abertura"
"078","2025","Contratatação direta","Contratação do Consórcio Público Intermunicipal de Saúde do Alto Jequitinhonha - CISAJE por meio de Contrato de Programa para prestação de serviços em saúde para usuários do Sistema Único de Saúde do Município de José Gonçalves de Minas/MG.","2025-12-10"
"077","2025","Pregão Eletrônico","Registro de preço para futura e eventual aquisição de gêneros alimentícios para subsidiar as atividades de todas as unidades administrativas e secretarias componentes da administração púbica municipal de José Gonçalves de Minas/MG.","2025-12-23"
"076","2025","Dispensa","Contratação de pessoa jurídica especializada para a prestação de serviços de planejamento, organização, execução e acompanhamento de Processo Seletivo Público para Agente Comunitário de Saúde e Processo Seletivo Simplificado ...","2025-12-10"
"075","2025","Pregão Eletrônico","Registro de preço para futura e eventual aquisição de medicamentos, medicamento básicos, e fórmulas, para atender a demanda dos serviços desempenhados pelas equipes de saúde nas unidades de saúde e abastecimento da farmácia básica, possibilitando o atendimento dos pacientes do sistema único de saúde (sus) do município de josé gonçalves de minas/mg","2025-12-12"
"074","2025","Pregão Eletrônico","Registro de preço para futura e eventual contratação de empresa especializada para prestação de serviço de perfuração de poço artesianos, com teste de vazão, limpeza e desifecção, destinados a atender às necessidades do municipio de josé gonçalves de minas/ mg","2025-12-12"
"073","2025","Pregão Eletrônico","Registro de preço para futura e eventual aquisição de gêneros alimentícios para subsidiar as atividades de todas as unidades administrativas e secretarias componentes da administração púbica municipal de josé gonçalves de minas/mg","2025-12-02"
"072","2025","Concorrência","Contratação de empresa especializada na execução de obras de engenharia para ampliação da Escola Municipal Gangorras, localizada na Rua Professora Juscelina Costa, s/n, Centro, no município de José Gonçalves de Minas/MG.","2025-12-04"
"071","2025","Pregão Eletrônico","Registro de preço para futura e eventual aquisição de materiais de expediente destinados a atender todas as secretarias e demais órgãos da administração pública do Município de José Gonçalves de Minas/MG.","2025-10-24"
"070","2025","Inexigibilidade","Contratação da BANDA FRICOTE, representada por seu empresário exclusivo VERTON PRODUÇÕES, para a realização de show musical no dia 25 de outubro de 2025, na praça pública da comunidade de Ijicatu, no município de José Gonçalves de Minas/MG...","2025-10-20"
"069","2025","Dispensa","Contratação de empresa especializada para a execução da obra de construção de aterro sanitário, contemplando a implantação do sistema de manejo e tratamento de chorume, construção de valas para disposição de resíduos, e edificação de guarita para controle de acesso...","2025-10-07"
"068","2025","Pregão Eletrônico","Aquisição de Brinquedos Pedagógicos Conforme Termo de Compromisso PAR nº 201305335 firmado entre o Ministério da Educação por meio do Fundo Nacional de Desenvolvimento da Educação (FNDE) e o Município de José Gonçalves de Minas - Minas Gerais.","2025-09-26"
"067","2025","Pregão Eletrônico","Registro de Preços para futura e eventual aquisição de materiais e equipamentos permanentes, destinados à manutenção das Secretarias e demais setores do Município de José Gonçalves de Minas/MG, referente aos itens frustrados do Processo Administrativo nº 052/2025 – Pregão Eletrônico nº 014/2025.","2025-10-23"
"066","2025","Dispensa","Contratação de profissional artista plástico para ministrar aulas semanais nas oficinas de artes promovidas pela Secretaria Municipal de Cultura, com especialização em técnicas de pintura e arte em barro, visando o desenvolvimento artístico...","2025-09-23"
"065","2025","Dispensa","Contratação de empresa especializada para a execução de serviços de pavimentação em bloquetes sextavados, a serem realizados nas Ruas Sucupira e João Alves Motoso, na comunidade de Ijicatu, e no trecho Morro, sentido Córrego do Arrozal, na comunidade de Ribeirão Pequeno...","2025-09-19"
"064","2025","Concorrência","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A CONSTRUÇÃO DE UMA UNIDADE DE ATENDIMENTO PARA EQUIPES MULTIPROFISSIONAIS DA ATENÇÃO PRIMÁRIA À SAÚDE, LOCALIZADA NA TRAVESSA AFONSO CALDEIRA, BAIRRO CENTRO, NO MUNICÍPIO DE JOSÉ GONÇALVES DE MINAS/MG.","2025-09-16"
"063","2025","Credenciamento","Credenciamento de empresa especializada em realização de serviços de exames de imagem necessários para atendimento dos pacientes que por motivos diversos não estão sendo ofertados pelo Sistema Único de Saúde ...","2025-09-03"
"062","2025","Inexigibilidade","Contratação da banda BAMBALADA por meio da empresa 55.636.035 ADRIEL JABES LOPES SILVA para realização de show musical no dia 10 de outubro de 2025, a realizar-se na praça pública José Lago de Mendonça em comemoração à Festa Nossa Senhora Aparecida do município de José Gonçalves de Minas-MG...","2025-08-25"
"061","2025","Adesão à Ata","ADESÃO À ATA DE REGISTRO DE PREÇOS N.º 003/2025, REFERENTE AO EDITAL Nº 001/2025, PROCEDIMENTO LICITATÓRIO Nº 001/2025, PREGÃO ELETRÔNICO POR REGISTRO DE PREÇO 001/2025 PARA CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO DE LICENÇA DE USO DE SISTEMA INTEGRADO...","2025-09-01"
"060","2025","Pregão Eletrônico","Registro de preço para futura e eventual aquisição de materiais de informatica e perifericos em atendimentos a secretarias e orgãos da adminstração pública de José Gonçalves de Mina/MG.","2025-09-17"
"059","2025","Inexigibilidade","Contratação, por inexigibilidade de licitação, de empresa especializada para prestação de serviços de assessoria singular contábil/orçamentária, financeira e auditoria contábil, defesa no TCEMG em processos de prestação de contas, treinamento e atualização...","2025-08-07"
"058","2025","Inexigibilidade","Contratação da dupla JOÃO LUCAS & DIOGO por meio da empresa JL&A PRODUÇOES ARTISTICAS para realização de show musical no dia 10 de outubro de 2025, a realizar-se na praça pública José Lago de Mendonça em comemoração à Festa Nossa Senhora Aparecida do município de José Gonçalves de Minas-MG.","2025-08-12"
"057","2025","Pregão Eletrônico","Registro de preço para futura e eventual aquisição de gás liquefeito de petróleo – glp e botijões para manutenção dos serviços municipais.","2025-09-15"
"056","2025","Concorrência","Contratação de empresa especializada para realizar a revitalização da Praça São Sebastião, na Rua São Sebastião, no bairro Centro, no município de José Gonçalves de Minas/MG.","2025-08-11"
"055","2025","Pregão Eletrônico","Registro de preços para aquisição de gêneros alimentícios relacionados a padarias e lanchonetes para atendimento das Secretarias e Setores da Administração Pública Municipal no Município de José Gonçalves De Minas/MG.","2025-08-04"
"054","2025","Dispensa","Contratação de empresa especializada para execução dos serviços especializados de conserto, revestimento e reforma de estofados dos bancos dos veículos da frota de transporte escolar do Município de José Gonçalves de Minas, especialmente aqueles vinculados ao Programa Caminho da Escola.","2025-08-07"
"053","2025","Pregão Eletrônico","Registro de preço para futura e eventual aquisição de materiais e equipamentos permanentes para manutenção das Secretarias E Demais Setores Do Município De José Gonçalves De Minas – MG.","2025-08-21"
"052","2025","Concorrência","Contratação de empresa especializada para realizar a revitalização da Praça Nossa Senhora Aparecida da Comunidade de Ijicatu, no município de José Gonçalves de Minas/MG","2025-08-14"
"051","2025","Inexigibilidade","Contratação do profissional artístico GUILHERME SILVA por meio da empresa TIRA O PE PRODUCOES LTDA para se APRESENTAR NA NOITE DO DIA 11 DE OUTUBRO DE 2025 (SÁBADO) para realização da tradicional Festa de Nossa Senhora Aparecida do município de José Gonçalves de Minas-MG.","2025-07-09"
"050","2025","Dispensa","Contratação de empresa especializada para a prestação de serviços de consultoria e assessoria técnica em gestão educacional e pedagógica, apoio administrativo, com o objetivo de orientar as ações da Secretaria Municipal de Educação do Município de José Gonçalves de Minas/MG.","2025-07-10"
"049","2025","Concorrência","Contratação de empresa especializada para a execução da reconstrução de pontilhões e encabeçamentos de ponte situados em zonas rurais do município de José Gonçalves de Minas/MG, em razão dos danos causados pelas intensas chuvas ocorridas em janeiro de 2025, em atendimento a Secretaria Municipal de Obras.","2025-07-15"
"048","2025","Adesão à Ata","Adesão à Ata de Registro de Preços nº 220/2024 - SECCOMPRAS/AP - Processo Administrativo nº 00013/SECCOMPRAS/2024 - do Pregão Eletrônico nº 071/2024-SECCOMPRAS/AP, para aquisição de Caminhão Carga Tipo: Toco (4x2), EQUIPADO COM CARROCERIA DE MADEIRA para atender as necessidades do Município de José Gonçalves de Minas/MG.","2025-06-12"
"047","2025","Inexigibilidade","Locação de imóvel situado na Rua São Sebastião, 390, Centro, na sede do município de José Gonçalves de Minas/MG, para o Programa de Aluguel Social, visando atender às necessidades da Secretaria Municipal de Assistência Social, Habitação e Trabalho","2025-05-28"
"046","2025","Inexigibilidade","Locação de imóvel situado na Rua Ana Santos Carvalho, 195, Centro, para instalação e funcionamento da Secretaria Municipal de Políticas Públicas para Mulheres na sede do município de José Gonçalves de Minas/MG.;","2025-05-27"
"045","2025","Pregão Eletrônico","Contratação de instituição financeira pública ou privada, inclusive sob a forma de cooperativa de crédito, autorizada a funcionar pelo banco central do brasil, para a prestação de serviços de centralização, processamento e gerenciamento de créditos provenientes de 100% da folha de pagamento dos servidores e empregados públicos da administração direta do município de josé gonçalves de minas/mg, com duração de 60 meses","2025-05-26"
"044","2025","Pregão Eletrônico","Registro de preço para futura e eventual aquisição de gêneros alimentícios destinados ao programa nacional de alimentação escolar - pnae, para o preparo da alimentação escolar dos alunos do ensino fundamental, ensino integral e educação infantil da rede municipal de ensino de josé gonçalves de minas - mg para o ano letivo de 2025","2025-06-17"
"043","2025","Adesão à Ata","Adesão à Ata de Registro de Preços nº 009/2025 - Processo Licitatório nº 010/2025 - do Pregão Presencial nº 005/2025 (REGISTRO DE PREÇO PARA FUTURA E EVENTUAL AQUISIÇÃO DE VEÍCULOS 0KM), para aquisição de Veículo 07 (sete) lugares de acordo com a Resolução 9.798 em atendimento à Secretaria de Saúde de José Gonçalves de Minas/MG.","2025-05-23"
